Image_name,Genotype,Plant_number,laser,Count_Small,Total_area_Small,Avg_area_Small,Count_Giant,Total_area_Giant,Avg_area_Giant,Small.Giant_ratio,Giant.Small_ratio,Percent_Small_Cells,Total_area,Small_Giant_area_ratio,Percent_area_small,Percent_area_giant
Segmented_GiantCells_pAR257-Col-T1#16-10X-1A_Maximumintensityprojection.tif,pAR257,16,1A,1017,22753,22.373,26,3764,144.769,39.11538462,0.025565388,0.975071908,26517,6.044899044,0.858053324,0.141946676
Segmented_GiantCells_pAR257-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR257,17,1A,380,10906,28.7,25,3858,154.32,15.2,0.065789474,0.938271605,14764,2.826853292,0.738688702,0.261311298
Segmented_GiantCells_pAR257-Col-T1#19-10X-1A_Maximumintensityprojection.tif,pAR257,19,1A,435,10425,23.966,36,5057,140.472,12.08333333,0.082758621,0.923566879,15482,2.061498912,0.673362615,0.326637385
Segmented_GiantCells_pAR257-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR257,2,1A,531,13375,25.188,24,3325,138.542,22.125,0.04519774,0.956756757,16700,4.022556391,0.800898204,0.199101796
Segmented_GiantCells_pAR257-Col-T1#20-10X-1A_Maximumintensityprojection.tif,pAR257,20,1A,84,1394,16.595,27,3675,136.111,3.111111111,0.321428571,0.756756757,5069,0.379319728,0.275004932,0.724995068
Segmented_GiantCells_pAR257-Col-T1#22-10X-1A_Maximumintensityprojection.tif,pAR257,22,1A,30,359,11.967,18,2187,121.5,1.666666667,0.6,0.625,2546,0.164151806,0.141005499,0.858994501
Segmented_GiantCells_pAR257-Col-T1#23-10X-1A_Maximumintensityprojection.tif,pAR257,23,1A,211,4672,22.142,37,5264,142.27,5.702702703,0.17535545,0.850806452,9936,0.887537994,0.47020934,0.52979066
Segmented_GiantCells_pAR257-Col-T1#24-10X-1A_Maximumintensityprojection.tif,pAR257,24,1A,237,5123,21.616,49,5948,121.388,4.836734694,0.206751055,0.828671329,11071,0.861297915,0.462740493,0.537259507
Segmented_GiantCells_pAR257-Col-T1#25-10X-1B_Maximumintensityprojection.tif,pAR257,25,1B,520,16286,31.319,43,6458,150.186,12.09302326,0.082692308,0.923623446,22744,2.521833385,0.716056982,0.283943018
Segmented_GiantCells_pAR257-Col-T1#26-10X-1A_Maximumintensityprojection.tif,pAR257,26,1A,370,8700,23.514,38,5873,154.553,9.736842105,0.102702703,0.906862745,14573,1.481355355,0.596994442,0.403005558
Segmented_GiantCells_pAR257-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR257,4,1A,451,9809,21.749,25,3818,152.72,18.04,0.055432373,0.947478992,13627,2.56914615,0.719820944,0.280179056
Segmented_GiantCells_pAR257-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR257,5,1A,522,13515,25.891,34,5256,154.588,15.35294118,0.0651341,0.938848921,18771,2.571347032,0.719993607,0.280006393
Segmented_GiantCells_pAR257-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR257,6,1A,530,17267,32.579,44,7017,159.477,12.04545455,0.083018868,0.923344948,24284,2.460738207,0.711044309,0.288955691
Segmented_GiantCells_pAR257-Col-T1#7-10X-1A_Maximumintensityprojection.tif,pAR257,7,1A,590,20740,35.153,32,5351,167.219,18.4375,0.054237288,0.948553055,26091,3.875911045,0.794910122,0.205089878
Segmented_GiantCells_pAR257-Col-T1#8-10X-1A_Maximumintensityprojection.tif,pAR257,8,1A,237,5169,21.81,48,6556,136.583,4.9375,0.202531646,0.831578947,11725,0.788438072,0.440852878,0.559147122
Segmented_GiantCells_pAR257-Col-T1#9-10X-1A_Maximumintensityprojection.tif,pAR257,9,1A,757,19090,25.218,28,4062,145.071,27.03571429,0.036988111,0.96433121,23152,4.699655342,0.824550795,0.175449205
Segmented_GiantCells_pAR262-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR262,13,1A,142,4778,33.648,18,2953,164.056,7.888888889,0.126760563,0.8875,7731,1.618015577,0.618031303,0.381968697
Segmented_GiantCells_pAR262-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR262,14,1A,338,8703,25.749,30,4725,157.5,11.26666667,0.088757396,0.918478261,13428,1.841904762,0.648123324,0.351876676
Segmented_GiantCells_pAR262-Col-T1#15-10X-1B_Maximumintensityprojection.tif,pAR262,15,1B,493,15620,31.684,70,11929,170.414,7.042857143,0.14198783,0.875666075,27549,1.309414033,0.566989727,0.433010273
Segmented_GiantCells_pAR262-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR262,2,1A,414,13996,33.807,33,5677,172.03,12.54545455,0.079710145,0.926174497,19673,2.465386648,0.711431912,0.288568088
Segmented_GiantCells_pAR262-Col-T1#21-10X-1A_Maximumintensityprojection.tif,pAR262,21,1A,124,4696,37.871,19,3038,159.895,6.526315789,0.153225806,0.867132867,7734,1.545753785,0.607189035,0.392810965
