Image_name,Genotype,Plant_number,Cell_type,Count,Total_area,Avg_area,Percent_area,Mean,laser
Segmented_SmallCells_pAR254-Col-T1#11-10X-1A.tif,pAR254,11,Small,286,7667,26.808,,,1A.tif
Segmented_SmallCells_pAR254-Col-T1#12-10X-1A.tif,pAR254,12,Small,697,18441,26.458,,,1A.tif
Segmented_SmallCells_pAR254-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR254,13,Small,398,7241,18.193,,,1A
Segmented_SmallCells_pAR254-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR254,14,Small,1006,28834,28.662,,,1A
Segmented_SmallCells_pAR254-Col-T1#15-10X-1A_Maximumintensityprojection.tif,pAR254,15,Small,617,16922,27.426,,,1A
Segmented_SmallCells_pAR254-Col-T1#16-10X-1A_Maximumintensityprojection.tif,pAR254,16,Small,423,10912,25.797,,,1A
Segmented_SmallCells_pAR254-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR254,17,Small,522,19412,37.188,,,1A
Segmented_SmallCells_pAR254-Col-T1#18-10X-1A_Maximumintensityprojection.tif,pAR254,18,Small,607,18340,30.214,,,1A
Segmented_SmallCells_pAR254-Col-T1#19-10X-1A_Maximumintensityprojection.tif,pAR254,19,Small,532,18209,34.227,,,1A
Segmented_SmallCells_pAR254-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR254,2,Small,587,20121,34.278,,,1A
Segmented_SmallCells_pAR254-Col-T1#20-10X-1A_Maximumintensityprojection.tif,pAR254,20,Small,234,4251,18.167,,,1A
Segmented_SmallCells_pAR254-Col-T1#21-10X-1A_Maximumintensityprojection.tif,pAR254,21,Small,338,9920,29.349,,,1A
Segmented_SmallCells_pAR254-Col-T1#22-10X-1A_Maximumintensityprojection.tif,pAR254,22,Small,329,9427,28.653,,,1A
Segmented_SmallCells_pAR254-Col-T1#23-10X-1A_Maximumintensityprojection.tif,pAR254,23,Small,547,16448,30.069,,,1A
Segmented_SmallCells_pAR254-Col-T1#24-10X-1A_Maximumintensityprojection.tif,pAR254,24,Small,642,15314,23.854,,,1A
Segmented_SmallCells_pAR254-Col-T1#3-10X-1A_Maximumintensityprojection.tif,pAR254,3,Small,516,17471,33.859,,,1A
Segmented_SmallCells_pAR254-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR254,4,Small,626,20715,33.091,,,1A
Segmented_SmallCells_pAR254-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR254,5,Small,955,31824,33.324,,,1A
Segmented_SmallCells_pAR254-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR254,6,Small,419,13966,33.332,,,1A
Segmented_SmallCells_pAR254-Col-T1#7-10X-1A_Maximumintensityprojection.tif,pAR254,7,Small,213,6679,31.357,,,1A
Segmented_SmallCells_pAR254-Col-T1#8-10X-2A_Maximumintensityprojection.tif,pAR254,8,Small,674,22263,33.031,,,2A
Segmented_SmallCells_pAR254-Col-T1#9-10X-2A_Maximumintensityprojection.tif,pAR254,9,Small,497,13727,27.62,,,2A
Segmented_GiantCells_pAR257-Col-T1#1-10X-1A_Maximumintensityprojection.tif,pAR257,1,Giant,36,4183,116.194,,,1A
Segmented_GiantCells_pAR257-Col-T1#10-10X-1A_Maximumintensityprojection.tif,pAR257,10,Giant,42,6383,151.976,,,1A
Segmented_GiantCells_pAR257-Col-T1#11-10X-1A_Maximumintensityprojection.tif,pAR257,11,Giant,16,2276,142.25,,,1A
Segmented_GiantCells_pAR257-Col-T1#12-10X-1A_Maximumintensityprojection.tif,pAR257,12,Giant,17,2519,148.176,,,1A
Segmented_GiantCells_pAR257-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR257,13,Giant,30,3849,128.3,,,1A
Segmented_GiantCells_pAR257-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR257,14,Giant,5,733,146.6,,,1A
Segmented_GiantCells_pAR257-Col-T1#15-10X-1A_Maximumintensityprojection.tif,pAR257,15,Giant,26,4080,156.923,,,1A
Segmented_GiantCells_pAR257-Col-T1#16-10X-1A_Maximumintensityprojection.tif,pAR257,16,Giant,26,3764,144.769,,,1A
Segmented_GiantCells_pAR257-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR257,17,Giant,25,3858,154.32,,,1A
Segmented_GiantCells_pAR257-Col-T1#19-10X-1A_Maximumintensityprojection.tif,pAR257,19,Giant,36,5057,140.472,,,1A
Segmented_GiantCells_pAR257-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR257,2,Giant,24,3325,138.542,,,1A
Segmented_GiantCells_pAR257-Col-T1#20-10X-1A_Maximumintensityprojection.tif,pAR257,20,Giant,27,3675,136.111,,,1A
Segmented_GiantCells_pAR257-Col-T1#22-10X-1A_Maximumintensityprojection.tif,pAR257,22,Giant,18,2187,121.5,,,1A
Segmented_GiantCells_pAR257-Col-T1#23-10X-1A_Maximumintensityprojection.tif,pAR257,23,Giant,37,5264,142.27,,,1A
Segmented_GiantCells_pAR257-Col-T1#24-10X-1A_Maximumintensityprojection.tif,pAR257,24,Giant,49,5948,121.388,,,1A
Segmented_GiantCells_pAR257-Col-T1#25-10X-1B_Maximumintensityprojection.tif,pAR257,25,Giant,43,6458,150.186,,,1B
Segmented_GiantCells_pAR257-Col-T1#26-10X-1A_Maximumintensityprojection.tif,pAR257,26,Giant,38,5873,154.553,,,1A
